phrase|type
act report|co-occurring
act republican|co-occurring
act resolut|co-occurring
act respect|co-occurring
act revis|co-occurring
act rule|co-occurring
act separ|co-occurring
act session|co-occurring
act shall|co-occurring
act speaker|co-occurring
act strike|co-occurring
act teller|co-occurring
act unanim|co-occurring
act waiv|co-occurring
act waiver|co-occurring
action adopt|co-occurring
action agre|co-occurring
action ask|co-occurring
action confer|co-occurring
action confere|co-occurring
action debat|co-occurring
action desir|co-occurring
action gentleman|co-occurring
action hous|co-occurring
action joint|co-occurring
action legislatur|co-occurring
action major|co-occurring
action matter|co-occurring
action member|co-occurring
action nomin|co-occurring
action pend|co-occurring
action question|co-occurring
action refer|co-occurring
action report|co-occurring
action request|co-occurring
action rule|co-occurring
action session|co-occurring
action shall|co-occurring
action statement|co-occurring
action subject|co-occurring
action suprem|co-occurring
action vote|co-occurring
action whatev|co-occurring
activ chargeabl|co-occurring
actual amend|co-occurring
actual count|co-occurring
actual offer|co-occurring
actual present|co-occurring
ad amend|co-occurring
ad bill|co-occurring
ad committe|co-occurring
ad cosponsor|co-occurring
ad end|co-occurring
ad follow|co-occurring
ad origin|co-occurring
ad proviso|co-occurring
ad section|co-occurring
add amend|co-occurring
add certain|co-occurring
add end|co-occurring
add follow|co-occurring
add languag|co-occurring
add name|co-occurring
add section|co-occurring
add senat|co-occurring
add word|co-occurring
addit 15|co-occurring
addit 3|co-occurring
addit 5|co-occurring
addit amend|co-occurring
addit circuit|co-occurring
addit cleric|co-occurring
addit clerk|co-occurring
addit committe|co-occurring
addit confere|co-occurring
addit copi|co-occurring
addit cosponsor|co-occurring
addit debat|co-occurring
addit district|co-occurring
addit five|co-occurring
addit gentleman|co-occurring
addit hour|co-occurring
addit member|co-occurring
addit minut|co-occurring
addit point|co-occurring
addit proviso|co-occurring
addit question|co-occurring
addit rule|co-occurring
addit second|co-occurring
addit section|co-occurring
addit senat|co-occurring
addit statement|co-occurring
addit time|co-occurring
addit view|co-occurring
addit vote|co-occurring
addit word|co-occurring
address amend|co-occurring
address committe|co-occurring
address deliv|co-occurring
